Hari,Setup Time (menit),Operating machine (menit),Produk yang dihasilkan (Liter),Down Time (jam),Keterangan,Availability,Performance,Quality Rate,OEE
1,0,0,0,6,Listrik padam,0.00%,0.00%,100%,0.00%
2,18,122,120,4,Listrik padam,36.81%,85.84%,100%,31.60%
3,45,364,360,0,,100.00%,87.98%,100%,87.98%
4,34,244,240,0,,100.00%,86.21%,100%,86.21%
5,30,240,240,0,,100.00%,88.89%,100%,88.89%
6,48,366,360,0,,100.00%,86.96%,100%,86.96%
7,38,364,360,0,,100.00%,89.55%,100%,89.55%
8,18,128,120,4,Kerusakan part,37.79%,82.30%,100%,31.10%
9,36,244,240,0,,100.00%,85.65%,100%,85.65%
10,30,246,240,0,,100.00%,86.96%,100%,86.96%
11,51,362,360,0,,100.00%,87.21%,100%,87.21%
12,34,248,240,0,,100.00%,85.11%,100%,85.11%
13,51,368,360,0,,100.00%,85.96%,100%,85.96%
14,36,244,240,0,,100.00%,85.65%,100%,85.65%
15,36,244,240,0,,100.00%,85.65%,100%,85.65%
16,36,246,240,0,,100.00%,85.11%,100%,85.11%
17,51,362,360,0,,100.00%,87.21%,100%,87.21%
18,34,246,240,0,,100.00%,85.65%,100%,85.65%
19,45,367,360,0,,100.00%,87.34%,100%,87.34%
20,30,244,240,0,,100.00%,87.53%,100%,87.53%
